id,name,geography,census_id
481,McDuffie County,county,13189
482,McIntosh County,county,13191
483,Macon County,county,13193
484,Madison County,county,13195
485,Marion County,county,13197
486,Meriwether County,county,13199
487,Miller County,county,13201
488,Mitchell County,county,13205
489,Monroe County,county,13207
490,Montgomery County,county,13209
491,Morgan County,county,13211
492,Murray County,county,13213
493,Muscogee County,county,13215
494,Newton County,county,13217
495,Oconee County,county,13219
496,Oglethorpe County,county,13221
497,Paulding County,county,13223
498,Peach County,county,13225
499,Pickens County,county,13227
500,Pierce County,county,13229
501,Pike County,county,13231
502,Polk County,county,13233
503,Pulaski County,county,13235
504,Putnam County,county,13237
505,Quitman County,county,13239
506,Rabun County,county,13241
507,Randolph County,county,13243
508,Richmond County,county,13245
509,Rockdale County,county,13247
510,Schley County,county,13249
511,Screven County,county,13251
512,Seminole County,county,13253
513,Spalding County,county,13255
514,Stephens County,county,13257
515,Stewart County,county,13259
516,Sumter County,county,13261
517,Talbot County,county,13263
518,Taliaferro County,county,13265
519,Tattnall County,county,13267
520,Taylor County,county,13269
521,Telfair County,county,13271
522,Terrell County,county,13273
523,Thomas County,county,13275
524,Tift County,county,13277
525,Toombs County,county,13279
526,Towns County,county,13281
527,Treutlen County,county,13283
528,Troup County,county,13285
529,Turner County,county,13287
530,Twiggs County,county,13289
531,Union County,county,13291
532,Upson County,county,13293
533,Walker County,county,13295
534,Walton County,county,13297
535,Ware County,county,13299
536,Warren County,county,13301
537,Washington County,county,13303
538,Wayne County,county,13305
539,Webster County,county,13307
540,Wheeler County,county,13309
541,White County,county,13311
542,Whitfield County,county,13313
543,Wilcox County,county,13315
544,Wilkes County,county,13317
545,Wilkinson County,county,13319
546,Worth County,county,13321
547,Hawaii County,county,15001
548,Honolulu County,county,15003
549,Kalawao County,county,15005
550,Kauai County,county,15007
551,Maui County,county,15009
552,Ada County,county,16001
553,Adams County,county,16003
554,Bannock County,county,16005
555,Bear Lake County,county,16007
556,Benewah County,county,16009
557,Bingham County,county,16011
558,Blaine County,county,16013
559,Boise County,county,16015
560,Bonner County,county,16017
561,Bonneville County,county,16019
562,Boundary County,county,16021
563,Butte County,county,16023
564,Camas County,county,16025
565,Canyon County,county,16027
566,Caribou County,county,16029
567,Cassia County,county,16031
568,Clark County,county,16033
569,Clearwater County,county,16035
570,Custer County,county,16037
571,Elmore County,county,16039
572,Franklin County,county,16041
573,Fremont County,county,16043
574,Gem County,county,16045
575,Gooding County,county,16047
576,Idaho County,county,16049
577,Jefferson County,county,16051
578,Jerome County,county,16053
579,Kootenai County,county,16055
580,Latah County,county,16057
581,Lemhi County,county,16059
582,Lewis County,county,16061
583,Lincoln County,county,16063
584,Madison County,county,16065
585,Minidoka County,county,16067
586,Nez Perce County,county,16069
587,Oneida County,county,16071
588,Owyhee County,county,16073
589,Payette County,county,16075
590,Power County,county,16077
591,Shoshone County,county,16079
592,Teton County,county,16081
593,Twin Falls County,county,16083
594,Valley County,county,16085
595,Washington County,county,16087
596,Adams County,county,17001
597,Alexander County,county,17003
598,Bond County,county,17005
599,Boone County,county,17007
600,Brown County,county,17009
601,Bureau County,county,17011
602,Calhoun County,county,17013
603,Carroll County,county,17015
604,Cass County,county,17017
605,Champaign County,county,17019
606,Christian County,county,17021
607,Clark County,county,17023
608,Clay County,county,17025
609,Clinton County,county,17027
610,Coles County,county,17029
611,Cook County,county,17031
612,Crawford County,county,17033
613,Cumberland County,county,17035
614,DeKalb County,county,17037
615,De Witt County,county,17039
616,Douglas County,county,17041
617,DuPage County,county,17043
618,Edgar County,county,17045
619,Edwards County,county,17047
620,Effingham County,county,17049
621,Fayette County,county,17051
622,Ford County,county,17053
623,Franklin County,county,17055
624,Fulton County,county,17057
625,Gallatin County,county,17059
626,Greene County,county,17061
627,Grundy County,county,17063
628,Hamilton County,county,17065
629,Hancock County,county,17067
630,Hardin County,county,17069
631,Henderson County,county,17071
632,Henry County,county,17073
633,Iroquois County,county,17075
634,Jackson County,county,17077
635,Jasper County,county,17079
636,Jefferson County,county,17081
637,Jersey County,county,17083
638,Jo Daviess County,county,17085
639,Johnson County,county,17087
640,Kane County,county,17089
641,Kankakee County,county,17091
642,Kendall County,county,17093
643,Knox County,county,17095
644,Lake County,county,17097
645,La Salle County,county,17099
646,Lawrence County,county,17101
647,Lee County,county,17103
648,Livingston County,county,17105
649,Logan County,county,17107
650,McDonough County,county,17109
651,McHenry County,county,17111
652,McLean County,county,17113
653,Macon County,county,17115
654,Macoupin County,county,17117
655,Madison County,county,17119
656,Marion County,county,17121
657,Marshall County,county,17123
658,Mason County,county,17125
659,Massac County,county,17127
660,Menard County,county,17129
661,Mercer County,county,17131
662,Monroe County,county,17133
663,Montgomery County,county,17135
664,Morgan County,county,17137
665,Moultrie County,county,17139
666,Ogle County,county,17141
667,Peoria County,county,17143
668,Perry County,county,17145
669,Piatt County,county,17147
670,Pike County,county,17149
671,Pope County,county,17151
672,Pulaski County,county,17153
673,Putnam County,county,17155
674,Randolph County,county,17157
675,Richland County,county,17159
676,Rock Island County,county,17161
677,St. Clair County,county,17163
678,Saline County,county,17165
679,Sangamon County,county,17167
680,Schuyler County,county,17169
681,Scott County,county,17171
682,Shelby County,county,17173
683,Stark County,county,17175
684,Stephenson County,county,17177
685,Tazewell County,county,17179
686,Union County,county,17181
687,Vermilion County,county,17183
688,Wabash County,county,17185
689,Warren County,county,17187
690,Washington County,county,17189
691,Wayne County,county,17191
692,White County,county,17193
693,Whiteside County,county,17195
694,Will County,county,17197
695,Williamson County,county,17199
696,Winnebago County,county,17201
697,Woodford County,county,17203
698,Adams County,county,18001
699,Allen County,county,18003
700,Bartholomew County,county,18005
701,Benton County,county,18007
702,Blackford County,county,18009
703,Boone County,county,18011
704,Brown County,county,18013
705,Carroll County,county,18015
706,Cass County,county,18017
707,Clark County,county,18019
708,Clay County,county,18021
709,Clinton County,county,18023
710,Crawford County,county,18025
711,Daviess County,county,18027
712,Dearborn County,county,18029
713,Decatur County,county,18031
714,DeKalb County,county,18033
715,Delaware County,county,18035
716,Dubois County,county,18037
717,Elkhart County,county,18039
718,Fayette County,county,18041
719,Floyd County,county,18043
720,Fountain County,county,18045
721,Franklin County,county,18047
722,Fulton County,county,18049
723,Gibson County,county,18051
724,Grant County,county,18053
725,Greene County,county,18055
726,Hamilton County,county,18057
727,Hancock County,county,18059
728,Harrison County,county,18061
729,Hendricks County,county,18063
730,Henry County,county,18065
731,Howard County,county,18067
732,Huntington County,county,18069
733,Jackson County,county,18071
734,Jasper County,county,18073
735,Jay County,county,18075
736,Jefferson County,county,18077
737,Jennings County,county,18079
738,Johnson County,county,18081
739,Knox County,county,18083
740,Kosciusko County,county,18085
741,LaGrange County,county,18087
742,Lake County,county,18089
743,LaPorte County,county,18091
744,Lawrence County,county,18093
745,Madison County,county,18095
746,Marion County,county,18097
747,Marshall County,county,18099
748,Martin County,county,18101
749,Miami County,county,18103
750,Monroe County,county,18105
751,Montgomery County,county,18107
752,Morgan County,county,18109
753,Newton County,county,18111
754,Noble County,county,18113
755,Ohio County,county,18115
756,Orange County,county,18117
757,Owen County,county,18119
758,Parke County,county,18121
759,Perry County,county,18123
760,Pike County,county,18125
761,Porter County,county,18127
762,Posey County,county,18129
763,Pulaski County,county,18131
764,Putnam County,county,18133
765,Randolph County,county,18135
766,Ripley County,county,18137
767,Rush County,county,18139
768,St. Joseph County,county,18141
769,Scott County,county,18143
770,Shelby County,county,18145
771,Spencer County,county,18147
772,Starke County,county,18149
773,Steuben County,county,18151
774,Sullivan County,county,18153
775,Switzerland County,county,18155
776,Tippecanoe County,county,18157
777,Tipton County,county,18159
778,Union County,county,18161
779,Vanderburgh County,county,18163
780,Vermillion County,county,18165
781,Vigo County,county,18167
782,Wabash County,county,18169
783,Warren County,county,18171
784,Warrick County,county,18173
785,Washington County,county,18175
786,Wayne County,county,18177
787,Wells County,county,18179
788,White County,county,18181
789,Whitley County,county,18183
790,Adair County,county,19001
791,Adams County,county,19003
792,Allamakee County,county,19005
793,Appanoose County,county,19007
794,Audubon County,county,19009
795,Benton County,county,19011
796,Black Hawk County,county,19013
797,Boone County,county,19015
798,Bremer County,county,19017
799,Buchanan County,county,19019
800,Buena Vista County,county,19021
801,Butler County,county,19023
802,Calhoun County,county,19025
803,Carroll County,county,19027
804,Cass County,county,19029
805,Cedar County,county,19031
806,Cerro Gordo County,county,19033
807,Cherokee County,county,19035
808,Chickasaw County,county,19037
809,Clarke County,county,19039
810,Clay County,county,19041
811,Clayton County,county,19043
812,Clinton County,county,19045
813,Crawford County,county,19047
814,Dallas County,county,19049
815,Davis County,county,19051
816,Decatur County,county,19053
817,Delaware County,county,19055
818,Des Moines County,county,19057
819,Dickinson County,county,19059
820,Dubuque County,county,19061
821,Emmet County,county,19063
822,Fayette County,county,19065
823,Floyd County,county,19067
824,Franklin County,county,19069
825,Fremont County,county,19071
826,Greene County,county,19073
827,Grundy County,county,19075
828,Guthrie County,county,19077
829,Hamilton County,county,19079
830,Hancock County,county,19081
831,Hardin County,county,19083
832,Harrison County,county,19085
833,Henry County,county,19087
834,Howard County,county,19089
835,Humboldt County,county,19091
836,Ida County,county,19093
837,Iowa County,county,19095
838,Jackson County,county,19097
839,Jasper County,county,19099
840,Jefferson County,county,19101
841,Johnson County,county,19103
842,Jones County,county,19105
843,Keokuk County,county,19107
844,Kossuth County,county,19109
845,Lee County,county,19111
846,Linn County,county,19113
847,Louisa County,county,19115
848,Lucas County,county,19117
849,Lyon County,county,19119
850,Madison County,county,19121
851,Mahaska County,county,19123
852,Marion County,county,19125
853,Marshall County,county,19127
854,Mills County,county,19129
855,Mitchell County,county,19131
856,Monona County,county,19133
857,Monroe County,county,19135
858,Montgomery County,county,19137
859,Muscatine County,county,19139
860,O'Brien County,county,19141
861,Osceola County,county,19143
862,Page County,county,19145
863,Palo Alto County,county,19147
864,Plymouth County,county,19149
865,Pocahontas County,county,19151
866,Polk County,county,19153
867,Pottawattamie County,county,19155
868,Poweshiek County,county,19157
869,Ringgold County,county,19159
870,Sac County,county,19161
871,Scott County,county,19163
872,Shelby County,county,19165
873,Sioux County,county,19167
874,Story County,county,19169
875,Tama County,county,19171
876,Taylor County,county,19173
877,Union County,county,19175
878,Van Buren County,county,19177
879,Wapello County,county,19179
880,Warren County,county,19181
881,Washington County,county,19183
882,Wayne County,county,19185
883,Webster County,county,19187
884,Winnebago County,county,19189
885,Winneshiek County,county,19191
886,Woodbury County,county,19193
887,Worth County,county,19195
888,Wright County,county,19197
889,Allen County,county,20001
890,Anderson County,county,20003
891,Atchison County,county,20005
892,Barber County,county,20007
893,Barton County,county,20009
894,Bourbon County,county,20011
895,Brown County,county,20013
896,Butler County,county,20015
897,Chase County,county,20017
898,Chautauqua County,county,20019
899,Cherokee County,county,20021
900,Cheyenne County,county,20023
901,Clark County,county,20025
902,Clay County,county,20027
903,Cloud County,county,20029
904,Coffey County,county,20031
905,Comanche County,county,20033
906,Cowley County,county,20035
907,Crawford County,county,20037
908,Decatur County,county,20039
909,Dickinson County,county,20041
910,Doniphan County,county,20043
911,Douglas County,county,20045
912,Edwards County,county,20047
913,Elk County,county,20049
914,Ellis County,county,20051
915,Ellsworth County,county,20053
916,Finney County,county,20055
917,Ford County,county,20057
918,Franklin County,county,20059
919,Geary County,county,20061
920,Gove County,county,20063
921,Graham County,county,20065
922,Grant County,county,20067
923,Gray County,county,20069
924,Greeley County,county,20071
925,Greenwood County,county,20073
926,Hamilton County,county,20075
927,Harper County,county,20077
928,Harvey County,county,20079
929,Haskell County,county,20081
930,Hodgeman County,county,20083
931,Jackson County,county,20085
932,Jefferson County,county,20087
933,Jewell County,county,20089
934,Johnson County,county,20091
935,Kearny County,county,20093
936,Kingman County,county,20095
937,Kiowa County,county,20097
938,Labette County,county,20099
939,Lane County,county,20101
940,Leavenworth County,county,20103
941,Lincoln County,county,20105
942,Linn County,county,20107
943,Logan County,county,20109
944,Lyon County,county,20111
945,McPherson County,county,20113
946,Marion County,county,20115
947,Marshall County,county,20117
948,Meade County,county,20119
949,Miami County,county,20121
950,Mitchell County,county,20123
951,Montgomery County,county,20125
952,Morris County,county,20127
953,Morton County,county,20129
954,Nemaha County,county,20131
955,Neosho County,county,20133
956,Ness County,county,20135
957,Norton County,county,20137
958,Osage County,county,20139
959,Osborne County,county,20141
960,Ottawa County,county,20143
961,Pawnee County,county,20145
962,Phillips County,county,20147
963,Pottawatomie County,county,20149
964,Pratt County,county,20151
965,Rawlins County,county,20153
966,Reno County,county,20155
967,Republic County,county,20157
968,Rice County,county,20159
969,Riley County,county,20161
970,Rooks County,county,20163
971,Rush County,county,20165
972,Russell County,county,20167
973,Saline County,county,20169
974,Scott County,county,20171
975,Sedgwick County,county,20173
976,Seward County,county,20175
977,Shawnee County,county,20177
978,Sheridan County,county,20179
979,Sherman County,county,20181
980,Smith County,county,20183
981,Stafford County,county,20185
982,Stanton County,county,20187
983,Stevens County,county,20189
984,Sumner County,county,20191
985,Thomas County,county,20193
986,Trego County,county,20195
987,Wabaunsee County,county,20197
988,Wallace County,county,20199
989,Washington County,county,20201
990,Wichita County,county,20203
991,Wilson County,county,20205
992,Woodson County,county,20207
993,Wyandotte County,county,20209
994,Adair County,county,21001
995,Allen County,county,21003
996,Anderson County,county,21005
997,Ballard County,county,21007
998,Barren County,county,21009
999,Bath County,county,21011
1000,Bell County,county,21013
1001,Boone County,county,21015
1002,Bourbon County,county,21017
1003,Boyd County,county,21019
1004,Boyle County,county,21021
1005,Bracken County,county,21023
1006,Breathitt County,county,21025
1007,Breckinridge County,county,21027
1008,Bullitt County,county,21029
1009,Butler County,county,21031
1010,Caldwell County,county,21033
1011,Calloway County,county,21035
1012,Campbell County,county,21037
1013,Carlisle County,county,21039
1014,Carroll County,county,21041
1015,Carter County,county,21043
1016,Casey County,county,21045
1017,Christian County,county,21047
1018,Clark County,county,21049
1019,Clay County,county,21051
1020,Clinton County,county,21053
1021,Crittenden County,county,21055
1022,Cumberland County,county,21057
1023,Daviess County,county,21059
1024,Edmonson County,county,21061
1025,Elliott County,county,21063
1026,Estill County,county,21065
1027,Fayette County,county,21067
1028,Fleming County,county,21069
1029,Floyd County,county,21071
1030,Franklin County,county,21073
1031,Fulton County,county,21075
1032,Gallatin County,county,21077
1033,Garrard County,county,21079
1034,Grant County,county,21081
1035,Graves County,county,21083
1036,Grayson County,county,21085
1037,Green County,county,21087
1038,Greenup County,county,21089
1039,Hancock County,county,21091
1040,Hardin County,county,21093
1041,Harlan County,county,21095
1042,Harrison County,county,21097
1043,Hart County,county,21099
1044,Henderson County,county,21101
1045,Henry County,county,21103
1046,Hickman County,county,21105
1047,Hopkins County,county,21107
1048,Jackson County,county,21109
1049,Jefferson County,county,21111
1050,Jessamine County,county,21113
1051,Johnson County,county,21115
1052,Kenton County,county,21117
1053,Knott County,county,21119
1054,Knox County,county,21121
1055,Larue County,county,21123
1056,Laurel County,county,21125
1057,Lawrence County,county,21127
1058,Lee County,county,21129
1059,Leslie County,county,21131
1060,Letcher County,county,21133
1061,Lewis County,county,21135
1062,Lincoln County,county,21137
1063,Livingston County,county,21139
1064,Logan County,county,21141
1065,Lyon County,county,21143
1066,McCracken County,county,21145
1067,McCreary County,county,21147
1068,McLean County,county,21149
1069,Madison County,county,21151
1070,Magoffin County,county,21153
1071,Marion County,county,21155
1072,Marshall County,county,21157
1073,Martin County,county,21159
1074,Mason County,county,21161
1075,Meade County,county,21163
1076,Menifee County,county,21165
1077,Mercer County,county,21167
1078,Metcalfe County,county,21169
1079,Monroe County,county,21171
1080,Montgomery County,county,21173
1081,Morgan County,county,21175
1082,Muhlenberg County,county,21177
1083,Nelson County,county,21179
1084,Nicholas County,county,21181
1085,Ohio County,county,21183
1086,Oldham County,county,21185
1087,Owen County,county,21187
1088,Owsley County,county,21189
1089,Pendleton County,county,21191
1090,Perry County,county,21193
1091,Pike County,county,21195
1092,Powell County,county,21197
